state_id	state	municipality_id	municipality	variable_inegi	institucion	nombre_institucion	poblacion	camas	clinicas	personal
1	Aguascalientes	1001	Aguascalientes	PAFIL_IPRIV	SMP	Servicios Médicos Privados	25703	149	186	0
1	Aguascalientes	1001	Aguascalientes	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	2563	30	2	0
1	Aguascalientes	1001	Aguascalientes	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	2563	30	2	0
1	Aguascalientes	1001	Aguascalientes	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	2563	30	2	0
1	Aguascalientes	1001	Aguascalientes	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	575318	328	258	0
1	Aguascalientes	1001	Aguascalientes	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	1064	0	0	0
1	Aguascalientes	1001	Aguascalientes	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	65237	82	53	0
1	Aguascalientes	1001	Aguascalientes	PDER_SEGP	SSA	Secretaría de Salud	120974	633	345	4343
1	Aguascalientes	1002	Asientos	PAFIL_IPRIV	SMP	Servicios Médicos Privados	93	0	0	0
1	Aguascalientes	1002	Asientos	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	17	0	0	0
1	Aguascalientes	1002	Asientos	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	17	0	0	0
1	Aguascalientes	1002	Asientos	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	17	0	0	0
1	Aguascalientes	1002	Asientos	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	17762	0	2	0
1	Aguascalientes	1002	Asientos	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	24	0	0	0
1	Aguascalientes	1002	Asientos	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	1908	0	1	0
1	Aguascalientes	1002	Asientos	PDER_SEGP	SSA	Secretaría de Salud	23997	8	28	120
1	Aguascalientes	1003	Calvillo	PAFIL_IPRIV	SMP	Servicios Médicos Privados	217	0	1	0
1	Aguascalientes	1003	Calvillo	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	332	0	0	0
1	Aguascalientes	1003	Calvillo	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	332	0	0	0
1	Aguascalientes	1003	Calvillo	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	332	0	0	0
1	Aguascalientes	1003	Calvillo	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	10187	0	2	0
1	Aguascalientes	1003	Calvillo	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	147	0	0	0
1	Aguascalientes	1003	Calvillo	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	3139	0	1	0
1	Aguascalientes	1003	Calvillo	PDER_SEGP	SSA	Secretaría de Salud	32383	46	57	543
1	Aguascalientes	1004	Cosío	PAFIL_IPRIV	SMP	Servicios Médicos Privados	33	0	0	0
1	Aguascalientes	1004	Cosío	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	12	0	0	0
1	Aguascalientes	1004	Cosío	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	12	0	0	0
1	Aguascalientes	1004	Cosío	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	12	0	0	0
1	Aguascalientes	1004	Cosío	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	7252	0	0	0
1	Aguascalientes	1004	Cosío	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	13	0	0	0
1	Aguascalientes	1004	Cosío	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	1088	0	1	0
1	Aguascalientes	1004	Cosío	PDER_SEGP	SSA	Secretaría de Salud	6439	3	7	37
1	Aguascalientes	1005	Jesús María	PAFIL_IPRIV	SMP	Servicios Médicos Privados	4904	0	3	0
1	Aguascalientes	1005	Jesús María	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	121	0	0	0
1	Aguascalientes	1005	Jesús María	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	121	0	0	0
1	Aguascalientes	1005	Jesús María	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	121	0	0	0
1	Aguascalientes	1005	Jesús María	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	74274	297	301	0
1	Aguascalientes	1005	Jesús María	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	144	0	0	0
1	Aguascalientes	1005	Jesús María	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	5881	0	0	0
1	Aguascalientes	1005	Jesús María	PDER_SEGP	SSA	Secretaría de Salud	20031	0	31	136
1	Aguascalientes	1006	Pabellón de Arteaga	PAFIL_IPRIV	SMP	Servicios Médicos Privados	218	0	2	0
1	Aguascalientes	1006	Pabellón de Arteaga	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	26	0	0	0
1	Aguascalientes	1006	Pabellón de Arteaga	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	26	0	0	0
1	Aguascalientes	1006	Pabellón de Arteaga	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	26	0	0	0
1	Aguascalientes	1006	Pabellón de Arteaga	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	21796	0	4	0
1	Aguascalientes	1006	Pabellón de Arteaga	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	59	0	0	0
1	Aguascalientes	1006	Pabellón de Arteaga	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	5246	0	3	0
1	Aguascalientes	1006	Pabellón de Arteaga	PDER_SEGP	SSA	Secretaría de Salud	11841	40	16	504
1	Aguascalientes	1007	Rincón de Romos	PAFIL_IPRIV	SMP	Servicios Médicos Privados	222	0	2	0
1	Aguascalientes	1007	Rincón de Romos	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	67	0	0	0
1	Aguascalientes	1007	Rincón de Romos	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	67	0	0	0
1	Aguascalientes	1007	Rincón de Romos	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	67	0	0	0
1	Aguascalientes	1007	Rincón de Romos	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	19942	0	4	0
1	Aguascalientes	1007	Rincón de Romos	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	47	0	0	0
1	Aguascalientes	1007	Rincón de Romos	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	5839	0	3	0
1	Aguascalientes	1007	Rincón de Romos	PDER_SEGP	SSA	Secretaría de Salud	20270	47	43	625
1	Aguascalientes	1008	San José de Gracia	PAFIL_IPRIV	SMP	Servicios Médicos Privados	38	0	0	0
1	Aguascalientes	1008	San José de Gracia	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	4	0	0	0
1	Aguascalientes	1008	San José de Gracia	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	4	0	0	0
1	Aguascalientes	1008	San José de Gracia	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	4	0	0	0
1	Aguascalientes	1008	San José de Gracia	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	1473	0	0	0
1	Aguascalientes	1008	San José de Gracia	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	10	0	0	0
1	Aguascalientes	1008	San José de Gracia	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	901	0	1	0
1	Aguascalientes	1008	San José de Gracia	PDER_SEGP	SSA	Secretaría de Salud	5886	10	12	44
1	Aguascalientes	1009	Tepezalá	PAFIL_IPRIV	SMP	Servicios Médicos Privados	37	0	0	0
1	Aguascalientes	1009	Tepezalá	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Pemex	11	0	0	0
1	Aguascalientes	1009	Tepezalá	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de la Defensa Nacional	11	0	0	0
1	Aguascalientes	1009	Tepezalá	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	Secretaría de Marina	11	0	0	0
1	Aguascalientes	1009	Tepezalá	PDER_IMSS	IMSS	Instituto Mexicano del Seguro Social	6938	0	0	0
1	Aguascalientes	1009	Tepezalá	PDER_IMSSB	IMSS-BIENESTAR	IMSS-Bienestar	9	0	0	0
1	Aguascalientes	1009	Tepezalá	PDER_ISTE	ISSSTE	Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado	965	0	0	0
