state_id	state	municipality_id	municipality	variable	valor	nombre
1	Aguascalientes	1001	Aguascalientes	POBTOT	948990	Población Total
1	Aguascalientes	1001	Aguascalientes	PSINDER	173199	Sin afiliación
1	Aguascalientes	1001	Aguascalientes	PDER_SS	774363	Con afiliación
1	Aguascalientes	1001	Aguascalientes	PDER_IMSS	575318	IMSS
1	Aguascalientes	1001	Aguascalientes	PDER_ISTE	65237	ISSSTE
1	Aguascalientes	1001	Aguascalientes	PDER_ISTEE	2352	ISSSTE estatal
1	Aguascalientes	1001	Aguascalientes	PAFIL_PDOM	2563	PEMEX, SEDENA, SEMAR
1	Aguascalientes	1001	Aguascalientes	PDER_SEGP	120974	SSA
1	Aguascalientes	1001	Aguascalientes	PDER_IMSSB	1064	IMSS-BIENESTAR
1	Aguascalientes	1001	Aguascalientes	PAFIL_IPRIV	25703	SMP
1	Aguascalientes	1001	Aguascalientes	PAFIL_OTRAI	2346	Otro
1	Aguascalientes	1002	Asientos	POBTOT	51536	Población Total
1	Aguascalientes	1002	Asientos	PSINDER	7590	Sin afiliación
1	Aguascalientes	1002	Asientos	PDER_SS	43922	Con afiliación
1	Aguascalientes	1002	Asientos	PDER_IMSS	17762	IMSS
1	Aguascalientes	1002	Asientos	PDER_ISTE	1908	ISSSTE
1	Aguascalientes	1002	Asientos	PDER_ISTEE	394	ISSSTE estatal
1	Aguascalientes	1002	Asientos	PAFIL_PDOM	17	PEMEX, SEDENA, SEMAR
1	Aguascalientes	1002	Asientos	PDER_SEGP	23997	SSA
1	Aguascalientes	1002	Asientos	PDER_IMSSB	24	IMSS-BIENESTAR
1	Aguascalientes	1002	Asientos	PAFIL_IPRIV	93	SMP
1	Aguascalientes	1002	Asientos	PAFIL_OTRAI	101	Otro
1	Aguascalientes	1003	Calvillo	POBTOT	58250	Población Total
1	Aguascalientes	1003	Calvillo	PSINDER	11832	Sin afiliación
1	Aguascalientes	1003	Calvillo	PDER_SS	46370	Con afiliación
1	Aguascalientes	1003	Calvillo	PDER_IMSS	10187	IMSS
1	Aguascalientes	1003	Calvillo	PDER_ISTE	3139	ISSSTE
1	Aguascalientes	1003	Calvillo	PDER_ISTEE	127	ISSSTE estatal
1	Aguascalientes	1003	Calvillo	PAFIL_PDOM	332	PEMEX, SEDENA, SEMAR
1	Aguascalientes	1003	Calvillo	PDER_SEGP	32383	SSA
1	Aguascalientes	1003	Calvillo	PDER_IMSSB	147	IMSS-BIENESTAR
1	Aguascalientes	1003	Calvillo	PAFIL_IPRIV	217	SMP
1	Aguascalientes	1003	Calvillo	PAFIL_OTRAI	134	Otro
1	Aguascalientes	1004	Cosío	POBTOT	17000	Población Total
1	Aguascalientes	1004	Cosío	PSINDER	2347	Sin afiliación
1	Aguascalientes	1004	Cosío	PDER_SS	14651	Con afiliación
1	Aguascalientes	1004	Cosío	PDER_IMSS	7252	IMSS
1	Aguascalientes	1004	Cosío	PDER_ISTE	1088	ISSSTE
