state_id	state	municipality_id	municipality	institucion_id	institucion	poblacion	beds	clinics
1	Aguascalientes	1001	Aguascalientes	PAFIL_IPRIV	SMP	25703	0	0
1	Aguascalientes	1001	Aguascalientes	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	2563	30	2
1	Aguascalientes	1001	Aguascalientes	PDER_IMSS	IMSS	575318	328	258
1	Aguascalientes	1001	Aguascalientes	PDER_IMSSB	IMSS-BIENESTAR	1064	0	0
1	Aguascalientes	1001	Aguascalientes	PDER_ISTE	ISSSTE	65237	82	53
1	Aguascalientes	1001	Aguascalientes	PDER_SEGP	SSA	120974	0	0
1	Aguascalientes	1002	Asientos	PAFIL_IPRIV	SMP	93	0	0
1	Aguascalientes	1002	Asientos	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	17	0	0
1	Aguascalientes	1002	Asientos	PDER_IMSS	IMSS	17762	0	2
1	Aguascalientes	1002	Asientos	PDER_IMSSB	IMSS-BIENESTAR	24	0	0
1	Aguascalientes	1002	Asientos	PDER_ISTE	ISSSTE	1908	0	1
1	Aguascalientes	1002	Asientos	PDER_SEGP	SSA	23997	0	0
1	Aguascalientes	1003	Calvillo	PAFIL_IPRIV	SMP	217	0	0
1	Aguascalientes	1003	Calvillo	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	332	0	0
1	Aguascalientes	1003	Calvillo	PDER_IMSS	IMSS	10187	0	2
1	Aguascalientes	1003	Calvillo	PDER_IMSSB	IMSS-BIENESTAR	147	0	0
1	Aguascalientes	1003	Calvillo	PDER_ISTE	ISSSTE	3139	0	1
1	Aguascalientes	1003	Calvillo	PDER_SEGP	SSA	32383	0	0
1	Aguascalientes	1004	Cosío	PAFIL_IPRIV	SMP	33	0	0
1	Aguascalientes	1004	Cosío	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	12	0	0
1	Aguascalientes	1004	Cosío	PDER_IMSS	IMSS	7252	0	0
1	Aguascalientes	1004	Cosío	PDER_IMSSB	IMSS-BIENESTAR	13	0	0
1	Aguascalientes	1004	Cosío	PDER_ISTE	ISSSTE	1088	0	1
1	Aguascalientes	1004	Cosío	PDER_SEGP	SSA	6439	0	0
1	Aguascalientes	1005	Jesús María	PAFIL_IPRIV	SMP	4904	0	0
1	Aguascalientes	1005	Jesús María	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	121	0	0
1	Aguascalientes	1005	Jesús María	PDER_IMSS	IMSS	74274	297	301
1	Aguascalientes	1005	Jesús María	PDER_IMSSB	IMSS-BIENESTAR	144	0	0
1	Aguascalientes	1005	Jesús María	PDER_ISTE	ISSSTE	5881	0	0
1	Aguascalientes	1005	Jesús María	PDER_SEGP	SSA	20031	0	0
1	Aguascalientes	1006	Pabellón de Arteaga	PAFIL_IPRIV	SMP	218	0	0
1	Aguascalientes	1006	Pabellón de Arteaga	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	26	0	0
1	Aguascalientes	1006	Pabellón de Arteaga	PDER_IMSS	IMSS	21796	0	4
1	Aguascalientes	1006	Pabellón de Arteaga	PDER_IMSSB	IMSS-BIENESTAR	59	0	0
1	Aguascalientes	1006	Pabellón de Arteaga	PDER_ISTE	ISSSTE	5246	0	3
1	Aguascalientes	1006	Pabellón de Arteaga	PDER_SEGP	SSA	11841	0	0
1	Aguascalientes	1007	Rincón de Romos	PAFIL_IPRIV	SMP	222	0	0
1	Aguascalientes	1007	Rincón de Romos	PAFIL_PDOM	PEMEX, SEDENA, SEMAR	67	0	0
1	Aguascalientes	1007	Rincón de Romos	PDER_IMSS	IMSS	19942	0	4
1	Aguascalientes	1007	Rincón de Romos	PDER_IMSSB	IMSS-BIENESTAR	47	0	0
1	Aguascalientes	1007	Rincón de Romos	PDER_ISTE	ISSSTE	5839	0	3
1	Aguascalientes	1007	Rincón de Romos	PDER_SEGP	SSA	20270	0	0
1	Aguascalientes	1008	San José de Gracia	PAFIL_IPRIV	SMP	38	0	0
